,model_name,dataset,atk_name,atk_param,eps,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9
0,resnet20_Q2,cifar10,chess,-1,2,0.8426,0.9913,0.15739999999999998,0.1058,0.099,0.1004,0.1151,0.0989,0.0829,0.1327,0.0808,0.0937,0.0907
1,resnet20_Q2,cifar10,chess,-1,4,0.691,0.9688,0.30900000000000005,0.1289,0.0945,0.1105,0.1289,0.0721,0.0513,0.2109,0.0607,0.0732,0.069
2,resnet20_Q2,cifar10,chess,-1,6,0.5661,0.9337,0.4339,0.1656,0.0907,0.1123,0.14,0.0463,0.0282,0.2681,0.0428,0.0595,0.0465
3,resnet20_Q2,cifar10,chess,-1,8,0.4687,0.887,0.5313,0.2112,0.0894,0.1219,0.1601,0.0273,0.0145,0.2708,0.0276,0.0474,0.0298
4,resnet20_Q2,cifar10,chess,-1,10,0.3929,0.8445,0.6071,0.2259,0.0812,0.1384,0.2119,0.0142,0.0066,0.2557,0.0129,0.0339,0.0193
5,resnet20_Q2,cifar10,chess,-1,12,0.3479,0.8094,0.6521,0.21100000000000002,0.0689,0.1517,0.2883,0.0092,0.0026,0.2196,0.0069,0.0275,0.0143
6,resnet20_Q2,cifar10,random,-1,2,0.9038,0.9976,0.09619999999999997,0.0975,0.0978,0.0994,0.0935,0.1073,0.1018,0.1022,0.0959,0.1035,0.1011
7,resnet20_Q2,cifar10,random,-1,4,0.8829,0.9957,0.11709999999999998,0.0875,0.0974,0.1032,0.0898,0.1149,0.0973,0.11199999999999999,0.0918,0.1079,0.0982
8,resnet20_Q2,cifar10,random,-1,6,0.8408,0.9922,0.1592,0.0778,0.0937,0.1125,0.0801,0.1246,0.0859,0.1307,0.0871,0.1087,0.0989
9,resnet20_Q2,cifar10,random,-1,8,0.7821,0.9861,0.2179,0.0681,0.0891,0.1186,0.0732,0.1345,0.0671,0.1679,0.0785,0.1057,0.0973
10,resnet20_Q2,cifar10,random,-1,10,0.7049,0.9768,0.29510000000000003,0.0593,0.0828,0.1211,0.0622,0.14300000000000002,0.0472,0.2223,0.0705,0.0966,0.095
11,resnet20_Q2,cifar10,random,-1,12,0.6219,0.9607,0.3781,0.0499,0.0717,0.1235,0.052000000000000005,0.1436,0.0335,0.2922,0.0605,0.0843,0.0888
12,resnet20_Q2,svhn,chess,-1,2,0.9530577750460972,0.994737246465888,0.04694222495390288,0.0664182544560541,0.19575906576521204,0.16237707437000615,0.1112861094038107,0.0954978488014751,0.09092655193607868,0.0767901044867855,0.07798094652735095,0.06123232944068839,0.06173171481253841
13,resnet20_Q2,svhn,chess,-1,4,0.9517132759680392,0.9947756607252612,0.04828672403196066,0.06634142593730794,0.19537492317148125,0.16256914566687156,0.11140135218192994,0.0953441917639828,0.09134910878918256,0.07640596189305471,0.07805777504609711,0.06088660110633067,0.062269514443761526
14,resnet20_Q2,svhn,chess,-1,6,0.9532114320835894,0.994583589428396,0.04678856791641062,0.06649508297480025,0.1952980946527351,0.16256914566687156,0.11040258143822987,0.0960356484326982,0.09111862323294406,0.07655961893054702,0.07805777504609711,0.06100184388444991,0.06246158574062693
15,resnet20_Q2,svhn,chess,-1,8,0.951559618930547,0.9950061462814996,0.04844038106945303,0.06657191149354641,0.1948755377996312,0.16326060233558698,0.1107098955132145,0.09576674861708666,0.09065765212046713,0.07640596189305471,0.07790411800860479,0.0606561155500922,0.06319145666871542
16,resnet20_Q2,svhn,chess,-1,10,0.9527888752304856,0.9950061462814996,0.04721112476951439,0.06661032575291949,0.19522126613398894,0.16318377381684082,0.11078672403196066,0.09580516287645974,0.0908881376767056,0.0762138905961893,0.07801936078672403,0.06123232944068839,0.06203902888752305
17,resnet20_Q2,svhn,chess,-1,12,0.9522126613398894,0.9948140749846344,0.04778733866011065,0.06657191149354641,0.19502919483712355,0.16352950215119852,0.1112476951444376,0.09511370620774433,0.09134910878918256,0.07644437615242779,0.07805777504609711,0.06038721573448064,0.062269514443761526
18,resnet20_Q2,svhn,random,-1,2,0.9528272894898586,0.9949293177627536,0.04717271051014138,0.06653349723417333,0.19568223724646588,0.16387523048555624,0.11032575291948372,0.09511370620774433,0.09111862323294406,0.07717424708051629,0.07717424708051629,0.0606561155500922,0.06234634296250768
19,resnet20_Q2,svhn,random,-1,4,0.9519821757836509,0.9949677320221266,0.04801782421634915,0.06649508297480025,0.1954901659496005,0.1628764597418562,0.11113245236631836,0.09542102028272896,0.09115703749231714,0.0767901044867855,0.07775046097111248,0.06088660110633067,0.06200061462814997
20,resnet20_Q2,svhn,random,-1,6,0.9505608481868468,0.9945451751690229,0.04943915181315306,0.06572679778733866,0.19518285187461587,0.16383681622618315,0.11101720958819912,0.09557467732022126,0.09157959434542104,0.07675169022741242,0.07748156115550092,0.061309157959434535,0.06153964351567301
21,resnet20_Q2,svhn,random,-1,8,0.9479102642901044,0.9949293177627536,0.0520897357098955,0.06522741241548863,0.19410725261216966,0.16345267363245236,0.11178549477566073,0.09553626306084817,0.0920021511985249,0.07725107559926245,0.07755838967424708,0.06069452980946528,0.06238475722188076
22,resnet20_Q2,svhn,random,-1,10,0.9452212661339888,0.9945067609096496,0.054778733866011065,0.06465119852489244,0.1948755377996312,0.16349108789182545,0.11243853718500307,0.0951521204671174,0.09242470805162877,0.07690534726490474,0.07728948985863553,0.060771358328211435,0.06200061462814997
23,resnet20_Q2,svhn,random,-1,12,0.9405731407498464,0.994161032575292,0.059426859250153674,0.0636140135218193,0.1941840811309158,0.16375998770743697,0.11286109403810694,0.094960049170252,0.0947679778733866,0.07667486170866626,0.07686693300553166,0.060195144437615235,0.06211585740626921
0,resnet20_Q3,cifar10,chess,-1,2,0.8256,0.9896,0.1744,0.0974,0.0979,0.1222,0.1435,0.0864,0.0715,0.1263,0.0801,0.0836,0.0911
1,resnet20_Q3,cifar10,chess,-1,4,0.6872,0.9639,0.3128,0.1007,0.0942,0.1397,0.2151,0.0653,0.044000000000000004,0.1541,0.0604,0.0591,0.0674
2,resnet20_Q3,cifar10,chess,-1,6,0.5715,0.9301,0.4285,0.1133,0.0913,0.1437,0.2966,0.045,0.0238,0.1516,0.0433,0.0447,0.0467
3,resnet20_Q3,cifar10,chess,-1,8,0.4759,0.8889,0.5241,0.1269,0.0884,0.1388,0.3812,0.0317,0.0115,0.1237,0.0315,0.0349,0.0314
4,resnet20_Q3,cifar10,chess,-1,10,0.3897,0.8473,0.6103000000000001,0.1376,0.0833,0.1356,0.4621,0.0216,0.005,0.0867,0.0199,0.0277,0.0205
5,resnet20_Q3,cifar10,chess,-1,12,0.3213,0.8065,0.6787000000000001,0.1471,0.076,0.1242,0.5381,0.0144,0.002,0.0558,0.0106,0.0196,0.0122
6,resnet20_Q3,cifar10,random,-1,2,0.9191,0.9964,0.08089999999999997,0.0977,0.0996,0.1017,0.0972,0.1027,0.0999,0.1013,0.0974,0.1027,0.0998
7,resnet20_Q3,cifar10,random,-1,4,0.8947,0.9957,0.10529999999999996,0.0878,0.0975,0.1109,0.0957,0.1058,0.0941,0.1076,0.0947,0.106,0.0999
8,resnet20_Q3,cifar10,random,-1,6,0.8594,0.9919,0.14059999999999995,0.0773,0.0945,0.1171,0.0942,0.1108,0.0839,0.1249,0.0903,0.1071,0.0999
9,resnet20_Q3,cifar10,random,-1,8,0.8045,0.9846,0.1955,0.0696,0.0898,0.1226,0.0877,0.1139,0.0674,0.1562,0.0841,0.1088,0.0999
10,resnet20_Q3,cifar10,random,-1,10,0.7361,0.9731,0.2639,0.061,0.0827,0.1306,0.0782,0.1173,0.0478,0.203,0.0753,0.1072,0.0969
