,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
0,resnet20_Q2,cifar10,sgd-uap,-1,2,10,0.8822,0.9963,0.11780000000000003,0.0873,0.0978,0.0965,0.0917,0.1165,0.1036,0.1058,0.0912,0.1089,0.1007,
1,resnet20_Q2,cifar10,sgd-uap,-1,4,10,0.7988,0.9873,0.20120000000000005,0.0615,0.0872,0.0985,0.086,0.1326,0.0883,0.1337,0.0802,0.1185,0.1135,
2,resnet20_Q2,cifar10,sgd-uap,-1,6,10,0.6435,0.9695,0.35650000000000004,0.0503,0.0659,0.0805,0.1077,0.1072,0.0595,0.2718,0.0565,0.0929,0.1077,
3,resnet20_Q2,cifar10,sgd-uap,-1,8,10,0.4942,0.909,0.5058,0.0443,0.0526,0.0537,0.1521,0.175,0.0206,0.1815,0.0275,0.0405,0.2522,
4,resnet20_Q2,cifar10,sgd-uap,-1,10,10,0.3711,0.8277,0.6289,0.0189,0.0616,0.0485,0.0266,0.1305,0.0115,0.1976,0.0208,0.0191,0.4649,
5,resnet20_Q2,cifar10,sgd-uap,-1,12,10,0.2858,0.7813,0.7142,0.0062,0.1202,0.0239,0.0191,0.0636,0.0072,0.2021,0.0139,0.0241,0.5197,
6,resnet20_Q2,cifar10,sgd-tgt,0,2,10,0.8918,0.9963,0.10819999999999996,0.1009,0.0957,0.0956,0.0926,0.1125,0.102,0.1038,0.0916,0.1023,0.10300000000000001,0.1009
7,resnet20_Q2,cifar10,sgd-tgt,0,4,10,0.8153,0.9892,0.1847,0.1218,0.0831,0.091,0.0945,0.1315,0.0782,0.1124,0.0791,0.0952,0.1132,0.1218
8,resnet20_Q2,cifar10,sgd-tgt,0,6,10,0.7076,0.9681,0.2924,0.1503,0.0731,0.0991,0.0807,0.1454,0.0513,0.133,0.0641,0.0839,0.1191,0.1503
9,resnet20_Q2,cifar10,sgd-tgt,0,8,10,0.6096,0.9363,0.3904,0.2079,0.0678,0.1029,0.0767,0.12,0.0373,0.1263,0.0483,0.0865,0.1263,0.2079
10,resnet20_Q2,cifar10,sgd-tgt,0,10,10,0.5283,0.898,0.4717,0.2269,0.0456,0.1214,0.0566,0.1581,0.0161,0.1508,0.0368,0.0834,0.1043,0.2269
11,resnet20_Q2,cifar10,sgd-tgt,0,12,10,0.4449,0.8576,0.5550999999999999,0.3596,0.052000000000000005,0.115,0.0426,0.08900000000000001,0.0126,0.1253,0.0271,0.0834,0.0934,0.3596
12,resnet20_Q2,cifar10,sgd-tgt,1,2,10,0.894,0.9962,0.10599999999999997,0.0952,0.0991,0.0982,0.0953,0.1108,0.1011,0.1053,0.0918,0.10400000000000001,0.0992,0.0991
13,resnet20_Q2,cifar10,sgd-tgt,1,4,10,0.8240000000000001,0.9899,0.17600000000000005,0.0743,0.1048,0.0924,0.08800000000000001,0.1139,0.0871,0.1447,0.0824,0.1105,0.1019,0.1048
14,resnet20_Q2,cifar10,sgd-tgt,1,6,10,0.7136,0.9648,0.2864,0.0519,0.1238,0.0894,0.0926,0.1227,0.054000000000000006,0.1561,0.0677,0.1106,0.1312,0.1238
15,resnet20_Q2,cifar10,sgd-tgt,1,8,10,0.5944,0.9254,0.4056,0.0383,0.1734,0.0734,0.0744,0.1267,0.0292,0.1839,0.0553,0.1147,0.1307,0.1734
