,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
0,resnet20_Q2,svhn,sgd-uap,-1,2,10,0.9431468961278426,0.994583589428396,0.05685310387215736,0.06557314074984634,0.1953365089121082,0.1604563614013522,0.11197756607252612,0.09561309157959434,0.09357713583282114,0.0782498463429625,0.07709741856177013,0.06038721573448064,0.06173171481253841,
1,resnet20_Q2,svhn,sgd-uap,-1,4,10,0.8578288260602336,0.9867470805162876,0.14217117393976642,0.055777504609711134,0.16326060233558698,0.14155654578979718,0.1467040565457898,0.08896742470805162,0.1397894898586355,0.07360172095881991,0.07275660725261217,0.056353718500307313,0.06123232944068839,
2,resnet20_Q2,svhn,sgd-uap,-1,6,10,0.7237630608481869,0.9686539643515673,0.27623693915181313,0.05070682237246466,0.10763675476336816,0.3533727719729564,0.09676551936078673,0.1023740012292563,0.0667639827904118,0.055585433312845725,0.06952980946527351,0.052051321450522436,0.04521358328211432,
3,resnet20_Q2,svhn,sgd-uap,-1,8,10,0.5575445605408728,0.8870236631837738,0.4424554394591272,0.036339889366933005,0.05404886293792256,0.11378303626306085,0.0895820528580209,0.05474031960663799,0.07794253226797787,0.053280577750460974,0.05381837738168408,0.05961893054701905,0.4068454210202827,
4,resnet20_Q2,svhn,sgd-uap,-1,10,10,0.4554010448678549,0.8939382298709281,0.5445989551321451,0.02381684081130916,0.05116779348494161,0.6441687154271666,0.07740473263675476,0.03891364474492932,0.03872157344806392,0.028772280270436382,0.04521358328211432,0.03057775046097112,0.021243085433312846,
5,resnet20_Q2,svhn,sgd-uap,-1,12,10,0.4577443146896128,0.8352028272894899,0.5422556853103873,0.03069299323909035,0.0259680393362016,0.3566763982790412,0.054855562384757216,0.3345113706207744,0.046442839582052864,0.0441379840196681,0.018861401352181933,0.03238322065150584,0.05547019053472649,
6,resnet20_Q2,svhn,sgd-tgt,0,2,10,0.945259680393362,0.9948140749846344,0.05474031960663794,0.06964505224339275,0.1917639827904118,0.16130147510755993,0.11132452366318378,0.09542102028272896,0.0905039950829748,0.07775046097111248,0.07794253226797787,0.06088660110633067,0.06346035648432698,0.06964505224339275
7,resnet20_Q2,svhn,sgd-tgt,0,4,10,0.8765749846342963,0.98889827904118,0.12342501536570373,0.12523048555623847,0.15968807621389058,0.15139059618930548,0.11232329440688384,0.0914643515673018,0.08285955746773202,0.08070835894283958,0.07118162261831591,0.05946527350952674,0.06568838352796558,0.12523048555623847
8,resnet20_Q2,svhn,sgd-tgt,0,6,10,0.7384757221880762,0.9690765212046712,0.2615242778119238,0.2569913952059004,0.11458973570989553,0.1272280270436386,0.0996081745543946,0.0795559311616472,0.06929932390903504,0.07544560540872773,0.055124462200368776,0.054817148125384144,0.06734019668100799,0.2569913952059004
9,resnet20_Q2,svhn,sgd-tgt,0,8,10,0.5769821757836509,0.9232483097725876,0.4230178242163492,0.41860018438844504,0.07191149354640443,0.1082897971727105,0.07056699446834665,0.06369084204056545,0.053280577750460974,0.0738322065150584,0.039720344191763984,0.044598955132145054,0.05550860479409957,0.41860018438844504
